association,score,general_aspect,review_text,hotel,location,review_rating
sinalizacao nao boa,2,outros,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
calcada danificada,3,instalacoes,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
local calmo,4,localizacao,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
local relaxante,4,localizacao,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
aparelhagem de som pequena,2,equipamento,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
experiencia gostava,4,outros,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
experiencia relaxante,4,outros,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
atendimentos medonhas,1,servico,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
infraestruturas medonhas,5,instalacoes,"Moramos em Cascais, e somos amantes de SPA's. Para assinalar uma data festiva na nossa relacao decidi oferecer uma experiencia a dois no SPA do Hotel Pestana Cidadela, em Cascais. Fiquei envergonhada. Ofereci uma sessao de massagem localizada, de 30 minutos as Costas + Acesso ao Circuito de Aguas. Para comecar - A RecepcaoAssim que chegamos desloca-mo-nos a Recepcao do Hotel, onde nao ouve uma saudacao, nem um uma ""Boa tarde"", quando perguntamos a localizacao do SPA, foi-nos indicado com palavras e gestos, onde o mesmo se localizava. Nao houve um acompanhamento ate ao local, o que e esperado, segundo os criterios de exigencia de um Hotel que pertence a Cadeia ""Leading"". O complexo do Hotel Pestana Cidadela Cascais - sao varios edificios sem ligacao interior - nao tem uma boa sinalizacao, e enorme para deslocacoes pelo exterior, principalmente em dias de chuva com calcada danificada. Conseguimos chegar ao SPA, onde mais uma vez a Recepcao nao correspondeu de todo as expectativas. SPA A primeira impressao e que foi uma coisa improvisada, nao estava pensado haver ali um SPA. E quando pensado, nao foi bem executado. Nao ha cacifos, nao ha balnearios. Pergunta: ""Antes e depois da massagem, onde e que e suposto tomarmos banho e trocarmos de roupa, uma vez que nao existe balnearios?""Resposta da Recepcionista: ""Pode tomar banho no WC dos ""Deficientes"", a porta nao tem tranca, mas eu coloco-lhe um cartao a dizer ""Do Not Distub"". Toalhoes de Banho tambem nao temos, tera de ir buscar as Toalhas da Piscina e limpar-se com essas. ""Um SPA e suposto ser um local para adultos, calmo e relaxante. . . Impossivel! Havia criancas, menores de 16 anos, completamente nuas, fazerem ""bombas"" na piscina interior do SPA, gritos e afins. Alem de que o tecto tinha diversas fendas, que deixavam cair gotas de chuva para a piscina. O Banho Turco, nao era um Banho Turco, nao havia producao de vapor e a sala cheirava pessimamente mal, com azulejos encardidos. O qual nao tivemos coragem de utilizar. O proprio telefone da Recepcao estava constantemente a tocar com um nivel de volume altissimo, que fazia ouvir tanto na piscina, como na sala de tratamento. A MassagemA terapeuta alem de ter as unhas enormes e de as estar a sentir constantemente nas minhas costas, parava a meio da massagem para se cocar, estalar os dedos, e Inclusive para trocar o CD de musica Zen, da pequena aparelhagem de som. Nao nos foi perguntado se tinhamos alguma alergia, alguma condicao fisica. Nem o tipo de pressao desejada. ConclusaoFiquei super envergonhada perante o meu companheiro, afinal de contas gostava de lhe ter proporcionado uma experiencia relaxante, e agradavel. Sei que nao e um SPA de luxo, nao e. Mas tambem nao e um SPA. Muito menos para um Hotel Pestana, nao para um Hotel da Cadeia Leading. Atendimentos e Infraestruturas completamente medonhas. Nao gostei. Fiquei muito desiludida. ",Pestana Cidadela Cascais,Distrito de Lisboa,1
localizacao excelente,5,localizacao,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
cinema perto,3,zona|instalacoes,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
metro perto,3,zona,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
restaurantes perto,3,comida,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
shopping perto,3,zona,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
hotel confortavel,4,hotel,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
cafe bom,4,comida,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
cafe da manha bom,4,comida,"Esse hotel e um dos meus preferidos em Lisboa, excelente localizacao, perto do metro Campo Pequeno, tem perto a Praca de Touros, cinema, restaurantes shopping. O hotel e confortavel, com bom cafe da manha . ",Holiday Inn Lisbon,Distrito de Lisboa,5
localizado nao muito bem,3,localizacao,"Hotel nao muito bem localizado, longe do centro e relativamente perto do aeroporto. Ar condicionado nao funcionou bem, privada fica de frente para a pia, atrapalhando um pouco. Piscina na cobertura com uma vista legal, e um bar bacana. Porem no verao, durante o horario de pico do sol (Nao da pra fazer muito turismo), a piscina fica muito cheia. ",Holiday Inn Lisbon,Distrito de Lisboa,3
centro longe,2,instalacoes|zona|localizacao,"Hotel nao muito bem localizado, longe do centro e relativamente perto do aeroporto. Ar condicionado nao funcionou bem, privada fica de frente para a pia, atrapalhando um pouco. Piscina na cobertura com uma vista legal, e um bar bacana. Porem no verao, durante o horario de pico do sol (Nao da pra fazer muito turismo), a piscina fica muito cheia. ",Holiday Inn Lisbon,Distrito de Lisboa,3
aeroporto perto,3,zona|localizacao,"Hotel nao muito bem localizado, longe do centro e relativamente perto do aeroporto. Ar condicionado nao funcionou bem, privada fica de frente para a pia, atrapalhando um pouco. Piscina na cobertura com uma vista legal, e um bar bacana. Porem no verao, durante o horario de pico do sol (Nao da pra fazer muito turismo), a piscina fica muito cheia. ",Holiday Inn Lisbon,Distrito de Lisboa,3
ar condicionado nao funcionou,2,equipamento,"Hotel nao muito bem localizado, longe do centro e relativamente perto do aeroporto. Ar condicionado nao funcionou bem, privada fica de frente para a pia, atrapalhando um pouco. Piscina na cobertura com uma vista legal, e um bar bacana. Porem no verao, durante o horario de pico do sol (Nao da pra fazer muito turismo), a piscina fica muito cheia. ",Holiday Inn Lisbon,Distrito de Lisboa,3
